timestamp,open,high,low,close,volume,trade_count,vwap
2018-01-02 05:00:00+00:00,1.09,1.13,1.08,1.12,33075,54,1.09688
2018-01-03 05:00:00+00:00,1.12,1.2,1.08,1.16,84310,221,1.134263
2018-01-04 05:00:00+00:00,1.2,1.32,1.13,1.17,398480,855,1.217244
2018-01-05 05:00:00+00:00,1.27,4.7,1.207,1.82,35665837,101933,3.324593
2018-01-08 05:00:00+00:00,2.0,2.89,1.99,2.34,10926698,23370,2.453335
2018-01-09 05:00:00+00:00,2.16,2.29,1.81,1.96,1226433,2780,1.949962
2018-01-10 05:00:00+00:00,1.81,1.96,1.7,1.88,469786,1088,1.836901
2018-01-11 05:00:00+00:00,1.92,2.14,1.8,1.9,979643,1716,1.978511
2018-01-12 05:00:00+00:00,1.87,1.9599,1.73,1.78,347245,659,1.808156
2018-01-16 05:00:00+00:00,1.69,1.829,1.51,1.61,479118,854,1.640797
2018-01-17 05:00:00+00:00,1.54,1.95,1.53,1.81,576474,1249,1.745523
2018-01-18 05:00:00+00:00,1.81,1.81,1.62,1.71,193752,588,1.704335
2018-01-19 05:00:00+00:00,1.7,1.7621,1.6,1.63,106727,332,1.638004
2018-01-22 05:00:00+00:00,1.6,1.64,1.53,1.54,152898,381,1.567166
2018-01-23 05:00:00+00:00,1.52,1.66,1.47,1.58,255630,650,1.546813
2018-01-24 05:00:00+00:00,1.6,1.6,1.51,1.52,169411,346,1.539194
2018-01-25 05:00:00+00:00,1.5,1.76,1.48,1.54,697893,1637,1.634929
2018-01-26 05:00:00+00:00,1.55,1.75,1.53,1.73,889009,1754,1.675398
2018-01-29 05:00:00+00:00,1.76,1.8501,1.51,1.5354,538045,1238,1.642148
2018-01-30 05:00:00+00:00,1.5,1.5399,1.375,1.3807,327697,691,1.412133
2018-01-31 05:00:00+00:00,1.42,1.42,1.28,1.28,234183,501,1.329293
2018-02-01 05:00:00+00:00,1.24,1.36,1.24,1.27,122111,259,1.280408
2018-02-02 05:00:00+00:00,1.27,1.32,1.12,1.16,274764,546,1.222915
2018-02-05 05:00:00+00:00,1.15,1.229,1.05,1.1,211691,429,1.138908
2018-02-06 05:00:00+00:00,1.09,1.2,1.05,1.15,99359,290,1.096463
2018-02-07 05:00:00+00:00,1.13,1.19,1.05,1.09,152657,329,1.10088
2018-02-08 05:00:00+00:00,1.08,1.1699,1.06,1.07,75773,168,1.104043
2018-02-09 05:00:00+00:00,1.09,1.15,1.03,1.11,134589,247,1.085776
2018-02-12 05:00:00+00:00,1.1,1.2379,1.09,1.14,236790,429,1.169731
2018-02-13 05:00:00+00:00,1.15,1.241,1.12,1.17,164999,388,1.195404
2018-02-14 05:00:00+00:00,1.19,1.3,1.17,1.22,186823,397,1.238734
2018-02-15 05:00:00+00:00,1.19,1.235,1.16,1.17,50196,142,1.186535
2018-02-16 05:00:00+00:00,1.18,1.2079,1.14,1.16,56917,113,1.154281
2018-02-20 05:00:00+00:00,1.14,1.1915,1.14,1.17,19636,71,1.168505
2018-02-21 05:00:00+00:00,1.2,1.2,1.14,1.14,25742,85,1.155999
2018-02-22 05:00:00+00:00,1.17,1.2,1.14,1.14,21750,69,1.154521
2018-02-23 05:00:00+00:00,1.16,1.2,1.14,1.17,124837,279,1.176281
2018-02-26 05:00:00+00:00,1.15,1.29,1.15,1.2,276644,436,1.243655
2018-02-27 05:00:00+00:00,1.19,1.24,1.15,1.19,87210,211,1.176552
2018-02-28 05:00:00+00:00,1.19,1.2,1.15,1.16,46823,164,1.16086
2018-03-01 05:00:00+00:00,1.19,1.19,1.15,1.15,28153,67,1.154105
2018-03-02 05:00:00+00:00,1.14,1.159,1.1,1.13,165517,278,1.121599
2018-03-05 05:00:00+00:00,1.13,1.15,1.11,1.13,39462,109,1.125687
2018-03-06 05:00:00+00:00,1.1334,1.24,1.1334,1.16,211545,372,1.187458
2018-03-07 05:00:00+00:00,1.13,1.2051,1.13,1.16,56604,81,1.182995
2018-03-08 05:00:00+00:00,1.15,1.1723,1.14,1.14,27823,67,1.154645
2018-03-09 05:00:00+00:00,1.15,1.2,1.15,1.19,120992,161,1.172813
2018-03-12 04:00:00+00:00,1.2,1.2,1.16,1.18,46456,93,1.186696
2018-03-13 04:00:00+00:00,1.18,1.29,1.17,1.17,126300,306,1.221365
2018-03-14 04:00:00+00:00,1.19,1.28,1.18,1.26,161699,248,1.230597
2018-03-15 04:00:00+00:00,1.27,1.6,1.26,1.58,1592868,2315,1.432993
2018-03-16 04:00:00+00:00,1.45,1.54,1.3126,1.37,767817,1594,1.415737
2018-03-19 04:00:00+00:00,1.37,1.37,1.26,1.33,253982,404,1.315097
2018-03-20 04:00:00+00:00,1.34,1.35,1.18,1.19,247670,388,1.238914
2018-03-21 04:00:00+00:00,1.18,1.2998,1.1763,1.28,85931,184,1.24562
2018-03-22 04:00:00+00:00,1.24,1.2362,1.15,1.18,94125,178,1.188018
2018-03-23 04:00:00+00:00,1.18,1.2153,1.1,1.18,153743,302,1.152857
2018-03-26 04:00:00+00:00,1.2,1.25,1.1191,1.14,114185,141,1.147318
2018-03-27 04:00:00+00:00,1.13,1.19,1.13,1.13,45532,113,1.140239
2018-03-28 04:00:00+00:00,1.12,1.16,1.12,1.1433,41422,118,1.135902
2018-03-29 04:00:00+00:00,1.13,1.19,1.13,1.14,46024,81,1.157535
2018-04-02 04:00:00+00:00,1.13,1.1552,1.13,1.13,36036,75,1.13816
2018-04-03 04:00:00+00:00,1.15,1.1726,1.13,1.14,91936,115,1.153543
2018-04-04 04:00:00+00:00,1.13,1.3,1.13,1.19,330745,552,1.214839
2018-04-05 04:00:00+00:00,1.23,1.23,1.16,1.18,72457,124,1.18865
2018-04-06 04:00:00+00:00,1.16,1.25,1.16,1.169,62387,105,1.195399
2018-04-09 04:00:00+00:00,1.17,1.2,1.16,1.17,65647,77,1.183972
2018-04-10 04:00:00+00:00,1.19,1.2712,1.18,1.19,256428,350,1.22422
2018-04-11 04:00:00+00:00,1.19,1.37,1.19,1.37,507631,719,1.283652
2018-04-12 04:00:00+00:00,1.37,1.3828,1.14,1.16,271754,596,1.268413
2018-04-13 04:00:00+00:00,1.22,1.23,1.14,1.2,160877,272,1.175558
2018-04-16 04:00:00+00:00,1.19,1.19,1.15,1.17,58193,119,1.160498
