timestamp,open,high,low,close,volume,trade_count,vwap
2018-01-02 05:00:00+00:00,34.45,34.45,33.9,34.15,14195,225,34.059617
2018-01-03 05:00:00+00:00,34.15,34.2,33.95,34.2,8935,116,34.045062
2018-01-04 05:00:00+00:00,34.4,34.65,34.2,34.3,10347,117,34.358306
2018-01-05 05:00:00+00:00,34.7,34.7,34.0,34.15,10463,116,34.163547
2018-01-08 05:00:00+00:00,33.95,34.15,33.95,34.1,11687,145,34.014019
2018-01-09 05:00:00+00:00,34.05,34.6,34.05,34.6,5636,71,34.353192
2018-01-10 05:00:00+00:00,34.6,35.05,34.4,34.9,12495,191,34.711901
2018-01-11 05:00:00+00:00,35.0,35.75,34.8,35.75,5692,82,35.48187
2018-01-12 05:00:00+00:00,35.9,36.6,35.75,36.05,11899,198,36.235235
2018-01-16 05:00:00+00:00,35.15,36.0,35.15,35.15,9577,222,35.258748
2018-01-17 05:00:00+00:00,35.2,35.5,35.05,35.5,4190,77,35.344166
2018-01-18 05:00:00+00:00,35.25,35.5,35.15,35.25,6723,158,35.361929
2018-01-19 05:00:00+00:00,35.2,35.75,35.2,35.75,9261,160,35.61015
2018-01-22 05:00:00+00:00,35.75,36.05,35.4,35.7,19170,176,35.679658
2018-01-23 05:00:00+00:00,35.65,36.45,35.65,36.4,7101,170,36.212277
2018-01-24 05:00:00+00:00,36.45,36.95,36.3,36.35,9751,134,36.453275
2018-01-25 05:00:00+00:00,36.4,36.4,35.6,35.9,10048,111,36.012729
2018-01-26 05:00:00+00:00,35.85,35.85,35.4,35.5,3893,65,35.579914
2018-01-29 05:00:00+00:00,35.35,35.5,35.2,35.4,7222,89,35.33361
2018-01-30 05:00:00+00:00,35.15,35.8,34.9,35.1,7324,169,35.221402
2018-01-31 05:00:00+00:00,35.3,35.3,34.55,34.65,10278,213,34.77058
2018-02-01 05:00:00+00:00,34.65,37.35,34.65,36.9,60660,406,36.600147
2018-02-02 05:00:00+00:00,36.55,36.55,36.1,36.25,16548,169,36.302007
2018-02-05 05:00:00+00:00,36.0,36.0,35.0,35.15,34011,367,35.388625
2018-02-06 05:00:00+00:00,34.65,35.1,34.2,35.0,22392,236,34.624393
2018-02-07 05:00:00+00:00,34.85,35.35,34.85,34.9,7655,83,35.067492
2018-02-08 05:00:00+00:00,35.0,35.05,34.4,34.4,9882,119,34.680068
2018-02-09 05:00:00+00:00,34.6,34.85,34.1,34.75,15351,145,34.563543
2018-02-12 05:00:00+00:00,34.85,34.9,34.55,34.7,8645,88,34.687697
2018-02-13 05:00:00+00:00,34.6,34.75,34.35,34.6,14337,123,34.543815
2018-02-14 05:00:00+00:00,34.3,34.5,34.25,34.35,8497,127,34.386966
2018-02-15 05:00:00+00:00,34.5,34.65,33.5,33.75,30421,235,33.922797
2018-02-16 05:00:00+00:00,33.75,34.25,33.55,34.2,28322,143,33.928515
2018-02-20 05:00:00+00:00,33.95,34.0,33.4,33.7,11810,199,33.759026
2018-02-21 05:00:00+00:00,34.0,34.95,33.95,34.25,11439,114,34.446492
2018-02-22 05:00:00+00:00,34.5,35.0,33.85,34.9,6516,174,34.579865
2018-02-23 05:00:00+00:00,34.95,35.35,34.71,35.15,13357,192,34.964139
2018-02-26 05:00:00+00:00,35.1,36.05,35.1,35.65,17099,155,35.685067
2018-02-27 05:00:00+00:00,35.65,36.2,35.65,35.8,10501,112,35.917008
2018-02-28 05:00:00+00:00,35.65,35.65,34.5,34.5,22205,260,34.908409
2018-03-01 05:00:00+00:00,34.5,35.5,34.3,35.3,19351,221,35.036979
2018-03-02 05:00:00+00:00,35.15,36.2,34.8,35.95,9919,155,35.725858
2018-03-05 05:00:00+00:00,35.9,36.15,35.35,35.5,20118,253,35.704148
2018-03-06 05:00:00+00:00,35.7,36.55,35.45,36.4,17985,147,36.194146
2018-03-07 05:00:00+00:00,36.25,37.1,35.85,36.2,16730,126,36.393613
2018-03-08 05:00:00+00:00,37.8,37.8,36.85,37.45,5184,114,37.289646
2018-03-09 05:00:00+00:00,37.4,37.7,36.75,37.3,24321,274,37.397526
2018-03-12 04:00:00+00:00,37.4,37.4,35.15,35.3,22160,256,36.143231
2018-03-13 04:00:00+00:00,35.6,36.35,35.3,36.15,12548,236,35.878465
2018-03-14 04:00:00+00:00,36.1,36.7,35.55,36.3,9478,244,36.176723
2018-03-15 04:00:00+00:00,36.3,36.6,35.9,36.5,12058,217,36.292616
2018-03-16 04:00:00+00:00,36.45,37.45,35.7,37.45,81740,254,37.141316
2018-03-19 04:00:00+00:00,37.3,37.3,36.95,37.0,25586,341,37.116496
2018-03-20 04:00:00+00:00,37.05,37.2,36.5,37.0,16818,379,36.863074
2018-03-21 04:00:00+00:00,37.1,37.1,36.7,36.8,14617,264,36.808042
2018-03-22 04:00:00+00:00,36.4,37.0,36.4,36.4,11536,238,36.611214
2018-03-23 04:00:00+00:00,36.55,36.85,35.6,36.05,12851,272,36.287361
2018-03-26 04:00:00+00:00,36.3,37.05,35.85,37.0,9902,391,36.599053
2018-03-27 04:00:00+00:00,37.05,37.45,36.55,36.8,13227,186,36.894916
2018-03-28 04:00:00+00:00,35.05,36.25,34.85,36.1,6409,100,35.81503
2018-03-29 04:00:00+00:00,36.25,37.45,36.25,37.45,9817,226,37.009497
2018-04-02 04:00:00+00:00,37.05,37.05,36.3,36.4,15203,202,36.47039
2018-04-03 04:00:00+00:00,36.65,37.65,36.4,37.65,12938,213,37.14817
2018-04-04 04:00:00+00:00,37.3,37.3,36.95,36.95,7011,141,37.063764
2018-04-05 04:00:00+00:00,35.05,37.5,35.05,37.5,8315,142,37.083091
2018-04-06 04:00:00+00:00,37.0,37.25,36.45,36.95,6803,86,36.79265
2018-04-09 04:00:00+00:00,36.8,37.3,36.8,37.0,10026,147,37.055056
2018-04-10 04:00:00+00:00,37.3,37.45,36.9,37.2,5517,184,37.231276
2018-04-11 04:00:00+00:00,36.6,37.35,36.6,37.3,5702,171,37.217664
2018-04-12 04:00:00+00:00,37.5,37.5,36.6,37.25,3473,53,37.121897
2018-04-13 04:00:00+00:00,37.3,37.3,35.75,36.05,18719,726,36.199615
2018-04-16 04:00:00+00:00,36.4,36.9,36.2,36.55,16563,270,36.441765
2018-04-17 04:00:00+00:00,36.75,36.8,36.35,36.5,11102,146,36.484524
2018-04-18 04:00:00+00:00,35.75,36.75,35.75,36.25,7315,91,36.359506
2018-04-19 04:00:00+00:00,36.3,37.35,35.75,35.9,23698,300,36.711009
2018-04-20 04:00:00+00:00,36.1,36.65,36.1,36.55,14218,342,36.392622
2018-04-23 04:00:00+00:00,36.6,36.6,35.95,36.35,10673,167,36.383016
2018-04-24 04:00:00+00:00,36.65,36.65,35.9,36.1,8646,132,36.262636
2018-04-25 04:00:00+00:00,35.6,36.5,35.55,36.15,10995,158,36.004145
2018-04-26 04:00:00+00:00,36.25,37.0,36.25,36.55,10669,145,36.518083
2018-04-27 04:00:00+00:00,36.6,36.85,36.35,36.4,12074,181,36.423238
2018-04-30 04:00:00+00:00,36.4,37.15,36.05,36.15,15075,148,36.414808
2018-05-01 04:00:00+00:00,36.2,37.0,35.555,36.75,8135,180,36.40778
2018-05-02 04:00:00+00:00,36.75,37.25,36.45,36.5,7931,82,36.639292
2018-05-03 04:00:00+00:00,36.5,36.65,36.1,36.35,9435,206,36.356863
2018-05-04 04:00:00+00:00,36.3,38.845,36.3,37.5,20189,197,37.430032
2018-05-07 04:00:00+00:00,37.0,37.85,37.0,37.6,4499,71,37.395608
2018-05-08 04:00:00+00:00,37.4,37.85,37.1,37.8,14311,185,37.673014
2018-05-09 04:00:00+00:00,37.3,37.4,36.8088,37.05,34668,274,37.096922
2018-05-10 04:00:00+00:00,37.3,38.5,36.95,37.15,49036,401,37.584627
2018-05-11 04:00:00+00:00,37.35,37.53,36.5,37.0,27756,279,37.175477
2018-05-14 04:00:00+00:00,36.95,37.9,36.8413,36.95,17661,198,37.260672
2018-05-15 04:00:00+00:00,36.95,37.125,36.85,36.9,16788,144,36.994792
2018-05-16 04:00:00+00:00,37.0,38.1,37.0,38.05,46087,347,37.969248
2018-05-17 04:00:00+00:00,38.0,38.45,37.7,38.2,26766,222,38.021098
2018-05-18 04:00:00+00:00,38.45,38.65,38.15,38.4,13061,124,38.444334
2018-05-21 04:00:00+00:00,38.75,39.1,38.35,38.55,11751,99,38.682059
2018-05-22 04:00:00+00:00,38.45,38.7,37.25,38.1,51836,312,38.277696
2018-05-23 04:00:00+00:00,38.2,39.05,37.9,38.75,11332,175,38.603662
2018-05-24 04:00:00+00:00,38.7,39.45,38.25,39.2,13529,158,38.797996
2018-05-25 04:00:00+00:00,39.45,39.8,39.05,39.45,17973,166,39.447944
2018-05-29 04:00:00+00:00,39.05,39.6,38.2,38.35,10937,186,38.568724
